"","family_income","total_pop","total_citizens","registered_total","registered_percent","not_registered_total","not_registered_percent","no_response_registration_total","no_response_registration_percent","voted_total","voted_percent","not_voted_total","not_voted_percent","no_response_voted_total","no_response_voted_percent","total_pop_registered_percent","total_pop_voted_percent"
"1","Under $10,000",3083,2571,1523,59.2,629,24.5,419,16.3,1212,47.1,997,38.8,362,14.1,49.4,39.3
"2","$10,000 to $14,999",3359,2762,1745,63.2,645,23.4,371,13.4,1392,50.4,1011,36.6,358,13,52,41.5
"3","$15,000 to $19,999",3327,2833,1637,57.8,787,27.8,409,14.4,1412,49.8,1048,37,374,13.2,49.2,42.4
"4","$20,000 to $29,999",9142,7774,5124,65.9,1661,21.4,989,12.7,4357,56.1,2475,31.8,942,12.1,56,47.7
"5","$30,000 to $39,999",12794,10829,7637,70.5,1848,17.1,1345,12.4,6832,63.1,2708,25,1290,11.9,59.7,53.4
"6","$40,000 to $49,999",9948,8637,6616,76.6,1182,13.7,838,9.7,5923,68.6,1939,22.4,774,9,66.5,59.5
"7","$50,000 to $74,999",25741,23430,18412,78.6,2814,12,2204,9.4,16875,72,4474,19.1,2082,8.9,71.5,65.6
"8","$75,000 to $99,999",20431,19092,15771,82.6,1709,9,1611,8.4,14705,77,2792,14.6,1594,8.4,77.2,72
"9","$100,000 to $149,999",24215,23125,19691,85.1,1653,7.1,1782,7.7,18626,80.5,2729,11.8,1771,7.7,81.3,76.9
"10","$150,000 and over",27595,26167,23008,87.9,1134,4.3,2025,7.7,22190,84.8,1990,7.6,1987,7.6,83.4,80.4
